Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1715957349212
Timestamp end: 1715958249714

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      398.4   344.7   160.7   213.1   226.0   347.0   430.6   482.9   521.5   563.0   610.1   678.4  1043.3  3099.6 12623.8  38273.4    38289
read      534.4   968.4   160.7   220.0   234.0   420.3   535.7   613.2   678.4   748.3   826.9   941.7  2128.6 12598.2 32246.1  20694.7    20658
read      525.5   961.7   173.5   225.9   243.4   426.1   516.5   571.8   612.5   658.9   715.8   803.7  2959.7 12159.8 36388.5  13812.7    13840
read      421.6   601.3   160.7   224.3   239.7   354.5   418.5   456.9   487.4   527.1   582.0   679.9  1655.6  7363.3 30098.2  93272.2    93419
read      378.0   289.7   160.7   223.6   238.4   340.3   397.6   432.1   459.3   493.3   539.8   614.1   848.6  2851.6  9551.3  98260.1    98284
read      382.9   309.5   160.7   219.9   232.3   335.5   402.8   444.8   477.3   520.0   575.0   653.4   883.4  2862.0 10001.9  71298.8    71313
read      388.2   285.2   160.7   216.1   228.2   340.6   420.2   470.4   509.8   553.1   600.8   663.1   830.6  2408.2  9965.2  42031.5    42089
read      394.7   387.7   160.7   217.1   229.2   343.4   421.2   470.3   509.9   556.3   607.6   673.5   864.9  3835.8 12228.2  46468.8    46458
read      395.8   335.9   160.7   217.2   229.4   351.4   439.9   490.7   525.1   560.6   599.2   654.3   828.8  2404.4 15333.6  30777.1    30755
read      396.5   390.4   160.7   218.0   229.8   346.6   425.8   475.4   515.1   558.7   607.3   672.3   869.9  3067.7 21762.2  42910.5    42889
read      373.2   371.2   160.7   221.2   234.8   333.7   391.9   426.6   453.9   488.5   535.8   610.1   838.9  2897.7  8373.5  93560.6    93552
read      381.1   319.5   160.7   218.3   230.2   333.1   400.7   442.7   476.4   521.3   578.1   656.3   906.4  2526.0 10080.5  65725.6    65694
read      403.3   433.7   160.7   218.7   230.7   355.5   447.3   497.4   531.1   566.2   605.0   660.3   872.8  2859.7 25703.8  29541.2    29574
read      388.0   323.1   160.7   217.7   229.6   339.7   415.1   462.6   500.8   546.9   600.6   670.3   842.7  2428.5 15851.5  51474.0    51355
read      381.6   370.0   160.7   219.0   230.9   333.3   400.6   442.1   474.8   518.6   575.0   651.4   874.6  2907.4 17319.0  67388.5    67361
read      531.0   903.5   173.5   225.4   242.3   434.9   535.1   599.3   646.2   696.7   757.0   850.5  2524.8 12480.4 32096.1  16265.4    16287
