Random waveform, random seed
Total number of intervals = 120 (99406, 24285, 82162, 67101, 29792, 90015, 78908, 7965, 56094, 96068, 62781, 6278, 17625, 51920, 60823, 67243, 28930, 56811, 79125, 36504, 45858, 12840, 15678, 18327, 73062, 75598, 33489, 95384, 71227, 24580, 92676, 64631, 22097, 72215, 85691, 84300, 83184, 47923, 46376, 79452, 30939, 90290, 56782, 70973, 29918, 22019, 92969, 53574, 15563, 77251, 77488, 80601, 43143, 92935, 41525, 56584, 68430, 29618, 20253, 54044, 36356, 25335, 45608, 94515, 96088, 21168, 31679, 77275, 13913, 81885, 69013, 50591, 55208, 27443, 40205, 23676, 97941, 9419, 81636, 52172, 11963, 84276, 61629, 17214, 85401, 66228, 75792, 77538, 57023, 43148, 83049, 46405, 97480, 58089, 86149, 95380, 9062, 73996, 7726, 30279, 15407, 22747, 61063, 99274, 89397, 60373, 97850, 94214, 76570, 45596, 78926, 9784, 50196, 57907, 70899, 8071, 39327, 76665, 23319, 80219)
Average QPS expected = 55884
Timestamp start: 1715952266292
Timestamp end: 1715953466813

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      401.0   329.5   160.7   222.3   237.4   353.5   422.9   465.0   497.8   538.2   592.2   680.5   976.6  3847.0 10691.0  84252.1    84300
read      399.7   267.8   160.7   220.6   234.9   351.6   423.1   466.6   500.0   540.5   593.9   683.9  1068.4  3052.8  7950.2  83161.5    83184
read      412.2   323.8   160.7   216.7   229.5   360.6   449.7   502.7   542.0   587.4   639.0   718.0  1020.5  3052.0 11227.0  47916.7    47923
read      412.2   294.4   160.7   215.4   228.4   363.4   452.8   505.7   544.3   588.5   640.3   720.2  1011.9  2997.8 10991.3  46499.6    46376
read      402.2   369.1   160.7   218.8   232.0   349.4   422.5   467.1   501.5   543.0   598.6   691.0  1150.2  3704.7 14257.9  79527.3    79452
read      414.9   284.7   160.7   217.8   230.4   372.0   472.1   522.9   555.5   590.6   631.9   691.8   917.6  2596.3 10414.2  31017.3    30939
read      396.6   286.9   160.7   221.0   236.4   353.6   420.5   461.2   492.7   531.3   582.9   669.4   941.9  3734.7  7848.1  90380.3    90290
read      402.9   319.2   160.7   218.9   231.6   351.1   433.8   484.6   523.6   569.2   624.0   701.5   972.3  2651.4 10029.9  56755.1    56782
read      396.0   337.7   160.7   218.1   230.8   345.4   421.2   466.8   501.5   543.2   598.9   684.2  1004.6  2989.7 12517.4  71078.9    70973
read      429.4   593.3   160.7   213.8   227.2   374.4   471.6   521.0   552.5   588.4   631.6   701.5  1071.3  6012.5 31094.4  29837.1    29918
read      521.9   936.1   160.7   217.8   231.0   411.9   512.4   571.0   623.3   700.1   794.6   933.5  2394.2 11731.4 32453.9  22013.4    22019
read      390.9   298.4   160.7   219.3   233.6   348.4   413.4   453.3   483.8   521.9   574.2   660.9  1018.6  2423.7  9816.9  93039.7    92969
read      403.0   441.8   160.7   214.2   227.2   350.6   435.0   485.7   523.9   568.3   621.6   695.8   932.0  2679.4 28505.4  53584.3    53574
read      532.6  1035.9   173.5   220.3   235.3   430.5   525.1   587.4   631.2   680.9   736.5   830.2  2626.4 15375.4 36210.5  15510.6    15563
read      443.2   483.8   160.7   217.7   231.2   358.1   429.1   471.4   507.8   555.0   625.2   803.2  1998.2  4584.1 17416.5  77238.7    77251
read      388.2   311.9   160.7   216.3   229.3   341.6   412.5   455.9   488.7   529.0   582.0   665.4   956.9  2754.2 11790.8  77418.8    77488
read      396.7   322.0   160.7   219.6   233.2   348.3   419.5   463.2   496.9   537.9   591.3   681.6  1063.8  2832.5 11996.1  80574.5    80601
read      409.8   398.8   160.7   217.9   230.3   358.4   448.5   502.5   541.3   584.1   632.9   702.1   931.8  2934.2 24045.7  43197.9    43143
read      393.7   297.7   160.7   221.5   236.8   351.9   416.3   456.0   486.5   524.8   576.7   663.2   989.5  2542.8 10051.1  92910.5    92935
read      403.1   414.8   160.7   212.9   225.9   352.4   441.8   496.5   535.0   576.7   623.5   688.1   913.0  2156.3 24057.3  41447.3    41525
read      398.5   361.6   160.7   217.5   230.0   346.4   426.6   476.5   515.8   561.1   615.6   689.8   936.5  2367.2 14234.3  56488.9    56584
read      395.9   340.8   160.7   217.6   230.3   344.7   421.5   467.6   503.4   546.2   601.4   685.1  1015.5  2612.2 12391.2  68386.6    68430
read      411.5   436.5   173.5   216.0   228.9   364.0   464.0   513.9   545.1   578.9   618.1   675.8   871.4  3864.8 25619.1  29626.6    29618
read      523.6   856.0   160.7   217.7   231.3   427.2   529.0   598.7   661.0   730.1   807.9   928.8  2310.3  8728.7 33195.9  20193.1    20253
read      412.8   381.5   160.7   217.4   230.2   352.3   436.8   490.9   531.7   579.3   637.2   732.9  1254.8  3122.7 16873.4  54146.3    54044
read      408.5   446.5   160.7   215.2   228.2   358.5   453.8   507.3   543.3   582.1   626.1   686.9   866.9  2282.0 25747.4  36410.4    36356
read      450.1   597.9   173.5   217.0   229.9   382.1   483.2   530.3   563.1   603.3   669.1   832.7  1206.6  5564.7 30504.2  25223.2    25335
read      415.1  1186.4   160.7   218.0   230.5   354.3   442.1   495.3   533.8   576.7   626.1   693.2   922.2  3601.9 28720.5  45628.1    45608
read      394.0   354.1   160.7   220.1   235.0   351.2   414.7   453.8   483.7   521.6   573.4   661.7   984.7  2929.1 11712.2  94623.6    94515
read      401.8   336.7   160.7   222.8   239.4   359.0   424.1   463.7   494.5   532.6   585.3   676.3   972.6  3210.6 12249.6  96142.3    96088
read      537.4   900.8   160.7   222.3   237.8   437.3   545.0   622.3   684.3   748.0   825.2   936.5  2194.5 10921.1 35228.1  21237.9    21168
read      431.3   615.7   173.5   217.0   229.7   360.7   463.9   517.8   551.9   589.9   636.2   725.5  1122.0  6205.3 30079.1  31547.2    31679
read      392.5   313.6   160.7   217.2   230.3   343.5   415.4   459.2   492.7   533.9   588.3   678.5  1090.1  2538.4 10361.1  77340.7    77275
read      513.8   900.9   173.5   217.3   233.1   426.4   520.7   578.2   615.9   656.6   708.6   788.9  2434.5 13960.4 31970.9  13889.9    13913
read      420.5   345.4   160.7   220.0   234.3   359.4   432.8   478.1   512.7   556.4   619.5   736.1  1661.1  3086.1  9903.4  81984.5    81885
read      406.3   286.3   160.7   219.8   233.7   355.2   433.6   481.8   518.1   561.3   618.7   713.3  1101.3  2604.0 10530.1  68918.1    69013
read      457.1   412.5   160.7   219.1   232.9   360.4   456.3   522.8   576.1   647.3   774.8  1070.4  1540.5  2561.8 15290.3  50699.9    50591
read      480.3   432.6   160.7   221.8   237.4   371.5   467.6   535.5   590.6   669.8   815.6  1197.7  1757.2  3547.0 15211.6  55202.3    55208
read      400.9   431.5   160.7   214.1   227.5   363.4   458.6   501.7   528.5   556.3   588.3   636.6   793.6  2407.7 27958.9  27464.6    27443
read      393.0   336.4   160.7   215.9   229.1   351.0   440.6   492.0   526.7   562.9   602.3   655.1   761.8  1385.2 17268.6  40165.0    40205
read      396.7   395.9   160.7   217.2   230.6   370.8   459.5   497.8   521.3   544.7   573.7   613.3   692.7  1904.5 24827.9  23663.0    23676
read      383.0   255.0   160.7   223.0   239.1   353.7   414.4   450.5   477.0   509.4   553.7   628.4   800.6  1250.8 10331.2  97856.0    97941
read      375.7   361.5   173.5   227.5   244.8   365.6   402.6   422.6   435.3   451.7   468.7   498.8   570.8  5132.7 15850.8   9391.9     9419
read      380.8   194.6   160.7   219.0   232.7   345.9   414.8   455.8   486.5   523.3   571.2   643.2   808.7  1377.2  7719.8  81517.9    81636
read      387.7   210.8   160.7   217.8   230.5   347.6   429.3   477.4   513.4   553.6   599.0   658.3   776.0  1389.9  8365.0  52184.0    52172
read      387.0   290.9   173.5   228.9   245.5   381.6   427.3   449.7   464.1   481.0   500.9   532.4   605.0  4003.3 13957.5  11992.5    11963
read      380.4   206.2   160.7   221.1   235.4   344.8   412.4   453.0   483.4   520.6   568.6   639.8   802.9  1445.5  8050.5  84263.1    84276
read      386.8   218.8   160.7   219.0   231.9   345.4   425.3   471.2   507.4   548.7   597.0   663.8   795.1  1521.5  7957.4  61840.0    61629
read      392.4   255.3   160.7   222.9   238.0   386.0   450.8   479.6   498.2   518.3   540.9   575.3   640.8  1928.5 11458.3  17261.2    17214
read      380.3   202.8   160.7   221.3   235.6   344.6   411.8   452.7   483.3   520.6   569.2   641.5   802.9  1325.9  7847.6  85498.4    85401
read      382.5   216.6   160.7   218.7   231.4   342.2   418.5   463.7   498.8   539.7   587.8   654.6   787.8  1314.6  8722.1  66256.1    66228
read      381.2   209.5   160.7   220.0   233.4   343.1   415.1   458.5   491.3   530.2   579.4   650.4   799.6  1242.2  7984.7  75781.1    75792
read      382.3   205.9   160.7   220.1   233.8   344.1   416.0   458.9   491.2   529.9   579.1   652.5   810.0  1481.7  7816.1  77505.2    77538
read      388.4   212.3   160.7   218.7   231.6   347.6   428.5   476.1   512.4   554.2   602.3   665.8   787.6  1301.4  8063.5  57015.7    57023
read      392.9   257.3   160.7   216.8   229.9   351.4   439.7   491.5   527.2   565.1   607.2   663.1   773.6  1290.0 10921.8  43030.8    43148
read      383.0   244.4   160.7   221.3   235.7   345.5   414.7   456.5   488.0   525.9   575.2   649.2   811.3  1530.3  8135.3  83161.4    83049
read      392.0   348.9   160.7   216.7   229.8   348.5   433.1   483.4   520.4   560.1   603.6   660.7   769.8  1382.8 14941.2  46443.7    46405
read      382.7   214.6   160.7   224.9   241.1   352.8   413.9   450.9   478.6   512.7   558.2   630.6   792.6  1158.0  7934.8  97390.5    97480
read      391.4   319.0   160.7   219.1   232.1   349.4   429.9   476.5   511.5   552.4   600.5   667.1   797.2  1466.0 12515.9  58180.4    58089
read      380.8   312.2   160.7   221.1   235.5   343.2   410.2   451.2   481.7   518.9   567.0   638.7   801.7  1444.6 12418.1  86283.8    86149
read      381.8   312.6   160.7   223.9   239.4   348.1   409.3   447.2   475.5   510.5   556.8   631.2   799.8  1338.5 12899.2  95329.8    95380
read      404.3   842.3   173.5   236.6   255.4   371.5   407.9   426.7   439.1   455.7   472.5   504.8   608.9 10378.9 31586.1   9061.9     9062
read      385.1   303.1   160.7   220.3   233.7   344.4   417.6   461.0   494.1   533.8   583.9   657.1   806.6  1600.8 12217.0  73956.7    73996
read      385.4   727.3   173.5   237.7   257.3   358.0   390.3   406.6   419.8   433.0   453.0   481.5   566.7  8067.9 31023.9   7736.4     7726
read      396.7   396.6   160.7   215.8   229.3   357.5   454.7   502.0   531.2   561.2   593.0   637.6   735.5  1501.6 25144.7  30172.2    30279
read      402.8   586.3   160.7   225.2   241.1   388.6   448.4   475.1   492.9   511.1   534.6   567.4   640.1  3884.7 30257.8  15289.1    15407
read      401.9   438.6   160.7   219.8   233.5   375.6   461.8   498.9   522.4   546.2   575.0   615.0   702.6  3005.5 28041.3  22662.6    22747
read      386.7   256.4   160.7   218.6   231.4   344.5   423.5   469.9   506.1   548.2   597.0   663.2   795.9  1460.5  8282.4  61240.5    61063
read      388.0   258.4   160.7   226.5   243.4   357.6   418.8   456.1   484.2   518.2   563.8   636.3   803.0  1272.8  8135.0  99263.9    99274
read      381.2   290.2   160.7   222.3   237.1   345.0   410.3   450.0   479.7   516.2   564.1   636.3   802.4  1471.7 11877.1  89555.6    89397
