Random waveform, random seed
Total number of intervals = 120 (49816, 43088, 10146, 53375, 8693, 37202, 88323, 52590, 9532, 90973, 33384, 43800, 5463, 9736, 92138, 43825, 51889, 22154, 76144, 93936, 57514, 31659, 37460, 59620, 79008, 58830, 10242, 51137, 99613, 78942, 6297, 52209, 66223, 93776, 20073, 67615, 24982, 10862, 15506, 77467, 99945, 59853, 92244, 25241, 94543, 83035, 9263, 22020, 17623, 27693, 58231, 6077, 61622, 86484, 25340, 45836, 33703, 89406, 12513, 15316, 10068, 58987, 81214, 95962, 94874, 50086, 13091, 44151, 23288, 37729, 9491, 63881, 50622, 95239, 98886, 23970, 97873, 97601, 95323, 81050, 81132, 44028, 37514, 6819, 93084, 87217, 88958, 84195, 24594, 44003, 96767, 40766, 35508, 21900, 77559, 36406, 8132, 27087, 42830, 50258, 56962, 55165, 73055, 49716, 64206, 17054, 46930, 85099, 14541, 6887, 99678, 37229, 62851, 33495, 11683, 47172, 65104, 88996, 57841, 13416)
Average QPS expected = 51003
Timestamp start: 1715953627249
Timestamp end: 1715954827761

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      406.6   401.1   160.7   219.3   232.0   347.1   435.2   490.4   530.2   574.7   626.9   704.5  1025.9  3024.1 25398.4  49659.4    49816
read      409.5   430.1   160.7   219.4   232.2   355.9   449.0   502.9   541.1   583.6   633.6   708.1   901.2  2831.5 28353.9  43263.7    43088
read      522.6  1259.6   173.5   228.4   248.1   401.5   475.2   515.6   542.6   576.0   618.7   692.0  3480.0 27920.3 37672.0  10222.5    10146
read      403.9   388.3   160.7   216.3   228.7   340.1   422.5   476.8   519.7   568.8   627.4   719.7  1199.1  3299.9 19885.0  53413.7    53375
read      470.3   954.3   173.5   229.3   248.7   387.6   449.1   481.6   504.1   531.6   566.7   627.1  2914.2 10780.0 35206.4   8743.0     8693
read      412.9   402.8   160.7   217.0   229.9   357.3   452.7   507.8   545.4   586.3   634.4   707.0   986.5  4242.8 18698.5  37198.5    37202
read      392.6   293.1   160.7   222.5   237.3   345.2   411.2   453.4   486.2   527.5   582.6   673.3  1001.7  2607.3 11247.3  88427.8    88323
read      404.5   325.7   160.7   220.8   234.2   350.8   441.7   496.8   536.1   580.6   634.3   716.8   915.9  1724.3 12017.8  52570.6    52590
read      431.1   933.8   173.5   234.2   253.1   395.0   454.9   486.4   507.9   533.2   564.6   618.5   786.5  8333.2 29773.5   9521.2     9532
read      433.6   390.9   160.7   225.5   241.8   361.5   425.1   467.0   503.1   549.7   624.8   795.4  1737.3  2728.8 11398.1  90699.9    90973
read      411.2   647.6   160.7   220.2   233.5   366.7   459.5   511.9   545.5   582.5   624.2   681.2   805.4  2131.9 28611.2  33291.4    33384
read      419.2   436.6   160.7   220.4   233.4   363.0   454.6   508.6   548.4   593.8   649.4   730.0  1035.5  3131.6 28345.4  43798.5    43800
read      482.0  1167.2   173.5   243.6   265.0   364.3   409.5   435.2   455.6   479.1   513.2   593.6  3176.6 21798.7 37408.4   5502.7     5463
read      562.5  1315.8   173.5   234.5   254.3   412.0   490.4   532.2   562.0   597.9   647.0   763.1  4170.7 28661.6 36703.8   9701.6     9736
read      433.1   533.7   160.7   225.5   241.8   364.4   434.6   480.2   516.0   561.8   627.6   758.1  1715.4  5346.8 15408.3  92012.2    92138
read      412.6   354.3   160.7   220.6   233.8   360.9   450.5   504.5   544.4   589.1   642.0   721.1   942.4  2619.0 15094.5  43828.9    43825
read      408.0   340.3   160.7   220.3   233.1   354.6   439.7   493.5   533.7   580.4   637.4   720.6   975.1  2429.4 12152.8  51987.6    51889
read      523.4   750.3   160.7   224.7   240.3   421.7   540.4   621.5   689.1   758.8   840.5   956.3  1837.5  7849.5 32018.1  22201.8    22154
read      418.2   534.1   160.7   222.6   237.2   350.1   423.3   470.5   509.3   558.8   626.7   745.5  1643.2  3144.6 10168.6  76222.2    76144
read      397.4   311.9   160.7   224.7   240.3   351.6   416.7   458.1   490.6   531.1   585.8   675.7   940.1  3619.7 10181.4  93942.8    93936
read      407.4   368.7   160.7   221.1   234.5   352.1   435.0   488.3   528.4   575.9   634.8   723.1   978.0  2513.2 16567.6  57543.0    57514
read      414.6   305.2   160.7   217.8   230.5   368.6   464.5   517.1   552.1   591.4   638.0   709.6   938.4  2736.4 10546.0  31642.8    31659
read      417.3   512.6   160.7   218.3   231.0   365.1   458.5   511.9   547.9   588.8   637.7   713.5   996.0  3309.2 16003.2  37425.2    37460
read      404.3   407.2   160.7   216.5   229.1   344.0   425.7   478.3   518.4   566.0   625.6   717.4  1181.7  3325.9 10335.3  59598.6    59620
read      388.4   548.4   160.7   217.5   230.4   337.4   405.3   451.0   486.3   529.8   586.3   675.3   965.2  3107.9 11105.9  78819.0    79008
read      399.9   444.8   160.7   217.3   229.8   343.1   424.4   475.9   515.4   561.6   620.3   705.3   982.7  3098.8 12586.8  58941.5    58830
read      512.7  1131.5   173.5   227.4   246.5   404.3   476.8   518.2   547.6   583.2   628.3   710.5  2925.7 19712.3 34596.0  10222.5    10242
read      412.8   419.3   160.7   217.3   229.9   350.6   439.0   493.8   534.1   581.4   638.5   730.2  1163.2  3430.2 19816.5  51237.2    51137
read      388.3   449.8   160.7   220.1   234.9   344.3   405.2   444.5   475.0   514.3   568.8   657.2   895.1  3718.5 15308.3  99558.4    99613
read      389.5   387.7   160.7   217.7   230.6   338.9   408.4   453.8   488.8   531.6   587.7   677.2   944.4  3502.0 11648.9  78957.4    78942
read      476.0  1393.0   173.5   232.4   255.4   374.4   424.6   452.9   472.1   497.8   530.7   589.1  2932.8 18636.4 36403.4   6272.8     6297
read      421.6   356.2   160.7   219.0   231.8   352.0   441.3   499.6   542.8   594.0   661.1   767.1  1346.6  3976.3 11481.1  52237.7    52209
read      399.2   269.8   160.7   220.4   233.6   344.5   422.4   471.6   510.9   558.6   619.2   708.5  1012.6  2939.6  9686.2  66223.7    66223
read      396.2   289.2   160.7   221.9   237.1   349.3   413.8   455.5   488.2   529.1   584.6   676.7   999.9  3390.8  8377.9  93766.0    93776
read      522.0   714.0   173.5   217.4   231.8   427.2   544.0   627.4   687.9   746.3   815.1   924.3  2122.1  8219.7 31793.6  20155.4    20073
read      400.8   321.6   160.7   216.8   229.7   340.2   414.5   463.5   502.1   549.3   612.2   714.0  1316.6  3199.5  9960.3  67477.4    67615
read      461.1   500.3   160.7   219.0   232.4   385.8   490.9   542.8   581.8   632.4   719.1   872.4  1270.3  6270.5 17994.1  24897.4    24982
read      517.3   982.2   173.5   230.2   249.5   416.5   498.0   541.5   573.3   609.3   653.1   733.2  3169.1 15154.7 32152.0  10943.8    10862
read      528.4   951.4   160.7   220.4   236.1   428.0   532.7   599.3   643.0   690.6   744.3   834.8  2525.7 13735.9 32400.8  15536.4    15506
read      409.8   400.6   160.7   219.6   233.2   346.4   417.5   463.9   501.2   547.0   611.8   725.3  1568.6  3665.0 10519.0  77432.7    77467
read      400.7   515.1   160.7   222.4   238.4   353.0   417.7   459.3   491.9   532.8   588.5   682.8  1005.1  3597.2  9847.5  99949.0    99945
read      401.3   289.0   160.7   219.5   232.2   346.3   429.0   481.5   521.7   568.6   627.0   713.5   968.5  2620.0 11462.0  59861.9    59853
read      387.0   317.7   160.7   219.7   233.5   340.6   402.8   443.0   474.1   514.6   570.3   662.0   999.4  2788.1 10746.7  92333.4    92244
read      487.7   743.8   160.7   218.1   231.1   388.6   499.2   558.7   606.9   675.2   776.2   923.9  1485.5  7400.6 32156.7  25119.3    25241
read      408.0   372.0   160.7   224.5   240.8   357.9   424.6   467.0   501.2   543.4   601.0   698.3  1061.6  3484.4 13065.6  94565.2    94543
read      386.1   296.3   160.7   217.4   230.5   337.7   404.9   449.3   483.8   526.6   582.7   673.0   995.7  2486.6  9705.2  82984.0    83035
read      484.7  1103.3   160.7   224.1   242.9   391.0   457.3   493.6   518.9   546.7   586.5   652.7  2717.2 26351.7 32316.8   9271.0     9263
read      565.0  1097.6   160.7   215.6   230.0   418.3   542.2   632.8   696.1   757.8   833.3   958.8  3511.0 14254.4 32406.2  21998.1    22020
read      523.3   920.0   160.7   218.8   234.0   420.4   525.9   596.4   643.9   694.7   750.4   846.3  2855.6 10367.5 31926.3  17665.1    17623
