Random waveform, random seed
Total number of intervals = 120 (94665, 46892, 20426, 12296, 73018, 98888, 65382, 15090, 21030, 93208, 81435, 95463, 62738, 42195, 15619, 60358, 42727, 33310, 31554, 74782, 5927, 19050, 72696, 12534, 90121, 62858, 64797, 54968, 88184, 98979, 60816, 40355, 62439, 41753, 97235, 17782, 38807, 83224, 45380, 69982, 84472, 36354, 78810, 66501, 16226, 97435, 54561, 76575, 21892, 48966, 11377, 30791, 75147, 58758, 36233, 44377, 24369, 65174, 37298, 84790, 60309, 74714, 99084, 31578, 6532, 21792, 70091, 23253, 28606, 25121, 61002, 26210, 32217, 93005, 78319, 82778, 59136, 21771, 96614, 27214, 86228, 85637, 35774, 24853, 27891, 71969, 35011, 29008, 28290, 24579, 76969, 89733, 6665, 73731, 18438, 35581, 5516, 46294, 33401, 42645, 80210, 26555, 43202, 39068, 89102, 29944, 90049, 89278, 48280, 73235, 40322, 73613, 30643, 48192, 15345, 21392, 91391, 26000, 21544, 87171)
Average QPS expected = 51843
Timestamp start: 1715948085155
Timestamp end: 1715949285667

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      633.8  1608.3   160.7   247.2   276.0   421.8   483.3   528.1   566.6   621.6   712.5   929.2  8559.2 25002.0 37520.7  94616.7    94665
read      396.7   305.8   160.7   218.4   230.8   349.4   435.2   488.3   526.7   570.0   619.6   683.8   830.1  1987.5 10084.3  46999.3    46892
read      538.2   737.2   173.5   222.9   238.9   453.0   564.7   642.7   701.0   762.2   835.7   939.9  2021.0  7930.6 31424.2  20414.5    20426
read      610.7  1404.0   173.5   224.9   244.0   439.4   536.6   589.0   624.4   664.5   718.0   857.1  4706.1 28887.0 37481.3  12342.4    12296
read      389.6   367.0   160.7   215.4   228.3   333.5   400.2   443.0   477.1   521.8   579.8   669.7  1458.1  2850.6 13941.7  73028.7    73018
read      395.7   296.2   160.7   223.7   239.8   352.7   413.4   450.9   480.1   517.8   569.6   655.6  1168.8  2895.1  8056.2  98939.4    98888
read      386.3   300.7   160.7   219.3   232.0   342.5   417.2   462.1   496.9   539.7   591.8   667.8   816.2  1968.0 10117.6  65317.5    65382
read      500.5   652.9   173.5   230.4   248.3   445.7   530.0   588.8   640.9   697.7   762.4   852.9  1093.8  6437.2 29955.4  15144.9    15090
read      537.1   760.0   160.7   229.3   246.2   449.3   556.8   627.6   694.9   782.9   875.4   998.2  1467.7  8043.9 32044.6  20990.9    21030
read      468.4   390.0   160.7   228.6   247.3   387.3   463.5   508.7   545.3   593.7   680.8   960.1  1882.1  2955.3 11329.4  92975.8    93208
read      394.2   264.4   160.7   223.2   238.1   351.0   421.3   464.7   499.2   541.4   595.8   683.2   895.8  2060.4  9751.8  81598.7    81435
read      387.3   292.2   160.7   223.8   239.5   349.8   412.3   451.3   481.0   518.3   568.6   646.1   840.3  2254.3  8937.0  95582.7    95463
read      400.9   346.4   160.7   220.8   234.2   349.8   428.6   476.6   514.2   560.5   619.1   700.7   919.2  3064.9 13214.8  62710.6    62738
read      415.5   405.3   160.7   220.2   233.1   363.5   454.7   509.0   548.8   593.6   646.5   720.5   942.2  2293.6 20944.2  42179.5    42195
read      528.9   730.7   173.5   228.1   246.2   457.0   553.4   619.8   668.0   720.4   784.1   876.7  1765.2  7995.5 31419.6  15628.8    15619
read      403.5   363.0   160.7   220.2   233.3   348.2   426.3   474.2   512.4   559.3   618.2   701.1  1060.0  3714.9 11478.6  60424.4    60358
read      412.9   344.7   160.7   220.1   233.2   362.2   451.5   505.1   544.9   589.1   642.5   718.0   937.9  2434.5 12839.3  42840.6    42727
read      418.3   421.7   160.7   220.1   233.4   367.8   465.0   519.8   556.6   595.2   641.2   707.7   928.4  2524.5 22064.2  33260.8    33310
read      422.5   522.7   160.7   220.0   232.9   367.7   464.6   518.5   554.4   591.8   637.0   700.1   937.0  4252.4 29095.1  31601.8    31554
read      398.1   332.9   160.7   221.3   235.1   346.7   419.9   464.9   500.5   544.2   600.5   686.4   998.4  3183.4 10556.1  74782.8    74782
read      484.2  1095.8   173.5   243.3   268.1   391.7   444.2   473.0   495.7   521.4   553.2   614.3  2838.0 24625.4 35606.5   5974.4     5927
read      564.6   862.0   173.5   227.0   244.3   469.5   589.3   674.0   732.0   794.2   865.0   973.1  2139.6 11676.6 35503.0  18988.5    19050
read      402.9   342.6   160.7   220.7   234.2   348.0   423.8   468.5   503.6   546.2   601.8   689.7  1281.8  3276.8 10793.6  72521.4    72696
read      521.2   797.1   160.7   228.5   247.6   444.3   534.4   589.6   626.8   667.1   716.2   800.4  2331.7  8185.2 31891.5  12515.1    12534
read      414.3   387.1   160.7   223.1   238.4   354.2   422.1   464.3   498.1   541.0   600.1   708.4  1639.4  3874.1 12531.3  90056.9    90121
read      401.0   382.7   160.7   219.9   232.6   344.4   421.9   469.5   507.2   553.5   612.4   692.6   996.5  3950.9 12290.5  62843.8    62858
read      394.2   436.1   160.7   219.1   231.3   338.9   411.2   457.7   494.5   540.6   597.9   679.9   956.8  3149.9 27260.3  64812.7    64797
read      398.0   283.5   160.7   219.1   231.4   346.3   426.2   476.2   516.4   564.5   622.2   698.7   937.0  2365.5 11154.6  55081.9    54968
read      389.2   330.3   160.7   220.7   234.5   342.5   406.1   446.2   477.5   517.9   572.7   658.0   988.0  3503.7 11612.6  88085.2    88184
read      385.0   305.7   160.7   222.1   237.3   344.3   404.1   441.4   469.9   506.3   555.4   634.9   888.0  3219.7  8677.4  99040.3    98979
read      397.3   312.8   160.7   219.2   231.8   345.5   422.3   470.5   508.7   555.8   614.1   691.4   941.3  2859.1 12459.8  60822.0    60816
read      410.3   354.4   160.7   218.2   230.5   355.2   447.4   503.7   544.1   587.8   638.6   707.5   941.6  3352.4 12451.3  40253.5    40355
read      394.3   323.9   160.7   219.6   232.1   343.5   419.5   467.1   505.5   552.0   610.0   688.1   923.8  2490.3 11991.3  62528.0    62439
read      408.8   287.7   160.7   218.9   231.3   356.9   448.7   504.0   544.9   589.0   640.7   711.5   960.3  2578.1 10551.4  41817.5    41753
read      390.7   319.1   160.7   223.7   239.4   348.8   410.0   448.1   477.3   514.5   565.5   644.1   900.0  3242.4 12035.4  97330.6    97235
read      553.1   869.2   173.5   225.6   242.6   456.8   560.3   634.8   688.8   746.7   819.2   929.5  2646.9 11059.5 32681.7  17818.4    17782
read      427.2   425.5   160.7   218.7   231.0   355.9   452.6   512.3   553.8   597.0   652.4   746.3  1337.9  4218.1 19574.2  38856.2    38807
read      383.8   287.2   160.7   220.5   233.9   339.3   404.4   445.0   475.5   515.4   569.3   650.4   888.6  2998.4 10099.0  83084.1    83224
read      401.7   300.0   160.7   217.9   230.2   349.2   436.3   491.5   533.3   579.0   631.3   699.0   921.1  2058.4 10177.7  45378.8    45380
read      390.3   303.4   160.7   219.5   232.5   340.3   411.8   456.4   491.7   536.2   592.4   676.7   955.6  2640.5 10179.0  70021.2    69982
read      386.4   278.4   160.7   220.1   233.7   340.9   405.1   446.3   477.5   518.0   572.1   656.3   950.0  3244.0  8913.0  84429.4    84472
read      412.0   388.3   160.7   217.9   230.4   356.6   452.6   508.5   547.3   588.1   635.7   697.7   928.1  3805.7 19764.1  36409.8    36354
read      384.0   280.4   160.7   220.2   233.3   338.2   403.3   444.5   476.1   517.3   572.3   653.3   866.7  3567.8 10113.1  78842.3    78810
read      386.9   259.4   160.7   218.8   230.9   338.2   409.8   455.3   491.3   536.7   592.8   673.9   912.1  2578.9  9034.0  66574.0    66501
read      554.8   960.6   173.5   226.1   244.3   459.1   556.8   625.8   676.1   731.3   799.1   912.1  1987.3 12643.4 33102.4  16222.4    16226
read      449.0   382.6   160.7   224.9   242.3   372.7   442.9   489.8   528.1   579.3   656.3   845.0  1813.5  3270.1 11863.7  97383.4    97435
read      389.0   328.4   160.7   215.4   228.0   337.8   416.1   466.7   506.5   553.4   608.5   681.5   898.3  2065.7 12434.7  54543.4    54561
read      381.4   282.9   160.7   217.7   230.3   332.9   397.9   439.1   472.1   516.1   574.5   661.2  1074.2  2462.4  8819.3  76586.8    76575
read      530.0   761.9   160.7   224.6   240.6   445.9   553.6   624.5   684.6   755.0   839.3   951.4  1740.1  6694.7 32135.8  21869.9    21892
read      413.1   483.4   160.7   216.5   229.2   344.0   428.3   484.5   527.5   576.0   633.0   719.8  1266.3  4352.5 27992.6  49029.2    48966
read      525.7  1091.1   173.5   227.7   246.6   429.2   508.5   557.0   588.5   623.5   666.1   734.3  3118.8 15698.4 36437.2  11401.4    11377
read      422.2   477.8   160.7   215.2   228.4   356.4   461.0   513.8   548.5   585.8   632.2   716.6  1142.4  5016.8 26118.0  30710.3    30791
read      380.8   306.5   160.7   218.2   230.4   334.0   400.2   441.7   474.5   518.2   575.1   658.2   963.1  2276.0 10341.8  75025.4    75147
read      394.7   352.7   160.7   218.7   231.1   341.8   418.3   466.7   505.7   553.2   611.5   687.0   957.7  2358.7 12530.5  58819.5    58758
read      403.2   471.1   160.7   214.2   227.1   346.3   441.2   497.2   534.9   574.3   618.9   679.8   869.7  2623.3 28338.2  36320.1    36233
