Total number of intervals = 120 (38537, 8757, 78620, 94815, 9043, 32520, 67169, 25283, 40908, 58210, 42283, 67160, 72673, 85920, 42244, 80370, 52972, 72725, 17334, 99335, 61160, 23164, 44177, 84487, 87462, 28320, 62767, 58097, 36447, 30033, 54655, 49157, 75223, 12933, 50191, 65588, 52615, 50267, 15819, 97313, 97069, 74437, 6647, 41433, 37116, 72054, 42283, 76629, 72881, 74346, 85070, 9876, 74470, 79009, 80351, 19572, 97199, 72134, 67746, 38193, 15378, 7463, 81983, 97643, 39174, 69450, 70716, 74466, 14774, 15647, 67132, 74061, 44164, 57954, 16205, 34212, 93366, 76855, 85485, 48693, 76364, 97393, 17072, 78483, 85339, 62001, 11217, 85231, 55026, 17973, 7501, 61139, 57490, 94603, 54500, 8619, 40349, 59193, 28429, 80508, 7224, 58072, 99473, 9136, 86517, 96968, 88617, 60045, 5644, 6829, 69927, 24774, 26778, 84851, 27787, 32539, 87834, 97787, 80356, 17647)
Average QPS expected = 54811
Timestamp start: 1715887986329
Timestamp end: 1715889186867

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      395.9   258.1   160.7   221.4   234.5   350.2   422.7   469.4   507.3   552.8   607.3   677.6   916.7  2594.2  8741.0  52590.7    52615
read      400.1   291.7   160.7   221.3   234.5   353.3   428.3   477.0   515.7   561.9   616.5   684.5   899.2  2920.6 10012.6  50266.1    50267
read      511.0   745.8   173.5   230.8   249.5   421.8   514.0   572.5   614.4   661.5   718.8   807.7  2604.5  8679.9 35394.7  15757.9    15819
read      470.4   419.3   160.7   233.3   252.6   394.3   469.4   518.4   555.3   602.0   670.2   830.1  1845.5  4437.6 12610.2  97027.4    97313
read      401.8   379.3   160.7   226.1   242.1   358.7   421.7   460.2   490.3   527.0   575.8   654.0   911.2  4212.9 15212.1  97093.9    97069
read      385.8   248.4   160.7   220.9   234.1   341.6   408.6   450.5   483.1   523.1   575.2   653.2   954.9  2586.5  9389.5  74591.4    74437
read      496.3  1198.5   187.4   238.2   258.8   377.9   425.1   452.7   471.8   496.2   528.2   588.6  3767.3 24924.5 32182.9   6667.6     6647
read      393.7   272.8   160.7   216.4   229.3   339.6   417.9   476.1   519.4   564.8   614.3   676.4   980.2  2604.4  8690.5  41379.3    41433
read      391.7   241.3   160.7   217.8   230.5   340.4   423.3   483.1   524.0   566.5   612.1   668.6   838.1  2244.2  9462.6  37263.4    37116
read      387.0   249.9   160.7   221.8   235.5   341.4   409.4   452.1   485.7   526.9   580.0   658.5   976.0  2363.7  9747.6  71988.5    72054
read      388.7   305.5   160.7   215.6   228.4   337.3   413.3   469.9   513.1   558.8   608.5   667.0   810.9  2505.9 12099.7  42177.6    42283
read      377.3   251.7   160.7   219.0   231.1   334.9   399.8   439.3   471.3   511.0   563.0   638.6   878.3  2188.3  9076.0  76592.8    76629
read      382.8   242.7   160.7   219.5   232.0   339.8   407.3   449.6   482.4   522.6   575.5   651.4   884.4  2248.2  9872.1  73026.9    72881
read      382.6   223.1   160.7   220.1   232.6   339.0   406.0   447.6   479.9   520.0   572.6   648.9  1006.9  2108.1  7853.2  74229.6    74346
read      373.8   237.0   160.7   219.8   232.2   335.0   396.6   432.9   461.7   497.3   544.3   620.1   864.2  2467.9  8103.1  84971.3    85070
read      488.9   915.9   173.5   232.3   251.2   400.1   473.6   512.4   539.0   568.9   605.3   670.2  3057.9  9537.0 37116.1   9837.0     9876
read      426.7   391.2   160.7   221.5   235.5   353.0   424.4   467.7   502.8   547.0   610.6   731.2  1797.7  4014.6 11032.4  74298.9    74470
read      384.3   261.1   160.7   220.3   233.4   342.4   409.0   450.4   482.1   520.9   571.6   646.7   883.5  2351.4  8783.2  79141.5    79009
read      380.2   239.8   160.7   219.2   231.6   337.8   402.7   442.4   473.1   512.0   563.0   639.9   927.1  2478.3  8620.6  80430.3    80351
read      523.8   903.7   160.7   222.9   238.9   422.3   519.5   580.9   632.7   692.8   761.8   864.2  2615.8 11580.8 35721.7  19668.7    19572
read      412.6   386.2   160.7   223.5   239.1   359.4   423.9   464.0   495.7   535.4   589.6   684.4  1568.7  4724.2 11941.0  97163.1    97199
read      378.7   240.1   160.7   219.1   231.3   336.4   402.5   443.2   475.5   516.5   569.3   641.8   850.6  2356.3  8311.1  71816.0    72134
read      379.3   236.9   160.7   219.5   231.8   336.8   402.4   444.0   477.3   519.4   572.7   645.6   842.2  2416.2  8191.9  67705.0    67746
read      387.1   243.4   160.7   217.1   229.7   335.0   414.4   473.9   516.1   558.4   603.5   659.4   809.7  2682.3  8645.6  38111.2    38193
read      488.2   680.3   173.5   229.1   246.8   408.4   496.0   548.2   588.5   632.6   684.4   763.4  2393.3  9015.4 30453.2  15315.6    15378
read      495.5  1107.9   173.5   234.8   253.7   385.1   440.7   471.4   492.6   515.6   546.4   610.2  3548.1 15430.0 36834.7   7488.0     7463
read      395.1   298.8   160.7   221.2   234.7   343.2   408.1   446.9   477.1   515.9   568.7   654.2  1563.4  2936.6  9934.9  81916.0    81983
read      391.9   263.4   160.7   224.6   240.1   353.7   415.0   452.7   481.6   517.2   564.4   637.4   918.3  2855.3  8683.3  97734.0    97643
read      386.6   243.3   160.7   217.9   230.3   337.8   414.4   471.4   514.0   557.2   604.1   661.6   802.9  1806.2  9184.6  39196.2    39174
read      379.9   237.6   160.7   219.8   231.9   337.5   403.6   444.6   477.2   519.1   572.6   645.8   868.2  2234.5  8777.9  69341.2    69450
read      382.3   271.1   160.7   219.3   231.6   337.5   404.3   445.5   477.9   518.9   572.3   649.2   947.1  2430.7 11283.6  70539.3    70716
read      379.4   246.1   160.7   218.6   230.4   336.2   402.9   444.1   476.6   517.3   569.0   644.6   877.5  2586.6  9913.8  74486.8    74466
read      491.4   749.0   173.5   232.8   251.9   421.8   509.8   557.9   591.8   631.2   680.5   757.6  1635.9  9818.9 35953.8  14814.7    14774
read      479.7   320.7   173.5   236.1   256.8   438.1   535.3   594.7   636.4   680.5   732.2   802.5   977.8  3852.6 13274.6  15569.1    15647
read      459.5   407.1   160.7   225.3   241.2   369.3   451.8   506.3   549.8   608.0   692.6  1001.0  1856.0  3211.2 13354.5  67236.0    67132
read      399.2   258.2   173.5   222.7   237.1   352.9   426.3   470.8   505.7   546.7   600.3   681.8  1002.5  2563.0  8404.4  74074.3    74061
read      405.6   240.6   173.5   221.7   236.1   359.2   440.5   494.9   535.1   579.5   628.9   690.5   889.1  2185.0  8046.3  44233.4    44164
read      396.8   242.5   160.7   222.4   236.6   353.5   430.7   478.1   514.2   556.6   609.0   678.8   841.5  2018.1  9340.9  57907.6    57954
read      477.2   331.2   173.5   235.6   254.9   434.4   526.5   584.7   629.7   679.5   736.0   809.8   983.3  4292.2 11636.8  16274.4    16205
read      416.3   259.2   160.7   222.3   237.0   357.6   454.4   515.1   553.9   594.1   640.2   718.4  1140.9  1836.1  9330.3  34249.2    34212
read      382.9   193.8   160.7   224.7   240.0   351.6   414.8   452.8   481.6   516.3   561.7   631.2   787.0  1713.0  7292.4  93368.1    93366
read      386.4   218.8   160.7   222.5   236.9   347.3   418.5   461.9   495.1   534.3   584.3   657.2   803.0  1878.6  8738.7  76902.3    76855
read      380.7   193.9   160.7   222.4   236.6   345.8   412.8   453.3   484.2   521.1   568.4   638.1   789.6  1705.9  7551.6  85464.8    85485
