#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      330.1   198.5   160.7   223.0   238.2   310.6   345.6   368.1   385.4   405.4   435.4   482.1   570.9  1568.0  8530.7  29993.3    30000  1715200437991  1715200448143
read      407.4   489.9   160.7   230.0   245.6   334.9   386.7   419.7   445.8   478.9   526.1   625.4  2013.2  6920.3 15585.0  30117.0    30005  1715200449651  1715200459785
read      409.6   515.9   160.7   234.4   251.4   344.7   396.9   430.4   457.6   492.9   543.1   639.6  1282.2  8008.5 19380.4  30020.5    30010  1715200461291  1715200471400
read      355.7   444.6   160.7   226.4   240.6   314.6   355.0   380.5   400.3   426.6   461.9   518.0   678.2  7584.8 18984.7  29938.9    30015  1715200472910  1715200483020
read      358.3   503.6   160.7   225.3   239.1   311.9   353.1   379.9   400.3   426.7   461.6   513.4   660.9  9449.7 20049.9  29993.2    30020  1715200484529  1715200494637
read      379.1   476.0   160.7   224.5   240.8   333.4   381.9   410.5   432.5   461.0   499.0   563.3   856.1  8299.4 19358.2  29991.7    30025  1715200496147  1715200506265
read      350.2   339.2   160.7   221.1   235.8   316.4   360.4   387.3   406.7   431.6   464.0   512.8   639.6  5092.6 13549.7  30024.7    30030  1715200507772  1715200517883
read      341.2   316.9   160.7   221.4   235.8   311.2   350.5   374.8   394.5   417.8   448.7   497.3   608.9  4446.7 12714.8  29991.2    30035  1715200519390  1715200529499
read      353.1   375.6   160.7   226.7   241.8   320.7   362.3   387.1   404.4   428.4   460.2   509.8   635.4  4545.6 15763.6  30088.3    30040  1715200531009  1715200541119
read      339.8   297.4   160.7   223.0   237.1   310.4   349.0   373.1   392.5   415.8   448.5   503.1   624.3  3979.4 14293.3  29980.8    30045  1715200542629  1715200552739
read      353.2   369.7   160.7   225.2   240.0   318.3   360.9   386.5   404.5   430.4   464.1   515.1   639.5  6104.4 12540.1  30068.9    30050  1715200554247  1715200564358
read      366.0   374.0   160.7   229.9   245.7   330.6   376.7   404.5   426.8   452.9   486.0   535.4   666.0  6155.6 15665.0  30051.2    30055  1715200565864  1715200575985
read      410.1   635.0   160.7   230.9   249.0   350.3   404.4   435.5   459.3   487.8   527.1   595.7   995.9 10719.1 24303.5  30106.6    30060  1715200577495  1715200587612
read      360.6   202.2   160.7   235.7   251.7   338.4   385.0   411.8   431.2   454.6   483.3   528.7   638.8  1901.3  8081.8  30093.4    30065  1715200589121  1715200599240
read      362.9   225.1   160.7   236.4   253.7   341.1   386.7   413.0   432.4   455.5   483.3   527.2   640.6  2064.3  9480.5  30129.3    30070  1715200600749  1715200610877
read      362.1   214.7   160.7   232.1   248.7   341.7   390.0   417.1   435.7   458.1   485.4   528.4   637.2  1649.4  8730.7  30097.3    30075  1715200612383  1715200622490
read      364.6   208.5   160.7   229.0   246.5   345.3   395.1   422.5   441.3   463.1   491.4   536.5   668.8  1441.4  9868.6  30061.6    30080  1715200623998  1715200634112
read      362.5   206.7   160.7   233.7   250.6   342.0   389.3   416.0   434.6   457.1   484.5   528.6   651.5  1870.1 10376.7  30095.3    30085  1715200635621  1715200645732
read      357.7   203.6   160.7   229.9   247.8   338.8   383.9   409.3   428.2   450.1   476.1   518.5   640.7  1626.9  8085.7  30129.7    30090  1715200647241  1715200657352
read      372.1   199.4   160.7   236.4   255.4   352.7   400.8   428.0   447.3   468.7   498.4   545.8   682.7  1418.0  8620.6  30084.5    30095  1715200658858  1715200668969
read      364.5   217.3   160.7   229.4   247.8   344.3   391.6   417.9   435.8   458.4   486.4   533.3   670.6  2123.7  9007.5  30146.5    30100  1715200670475  1715200680588
read      360.0   202.7   160.7   231.0   249.4   341.0   385.5   410.3   428.4   449.8   475.4   520.0   661.5  1627.3  7979.1  30106.1    30105  1715200682097  1715200692207
read      350.4   199.3   160.7   230.6   246.4   330.7   372.8   397.3   415.4   435.8   463.6   505.2   633.9  1759.7  8059.0  30058.4    30110  1715200693714  1715200703826
read      348.5   200.2   160.7   229.1   245.0   327.4   368.3   392.8   410.5   432.5   461.6   507.2   644.7  1920.8  8234.4  30122.7    30115  1715200705333  1715200715451
read      366.0   231.7   160.7   235.2   252.3   342.9   388.8   415.0   433.8   457.5   487.9   540.5   678.0  2510.2  9038.6  30175.5    30120  1715200716958  1715200727075
read      365.6   216.1   160.7   232.2   249.6   344.2   391.5   418.4   436.8   460.2   490.5   543.6   672.9  1745.7  8916.3  30104.2    30125  1715200728581  1715200738692
read      354.2   199.9   160.7   232.7   248.6   333.1   375.5   400.3   419.3   440.5   468.3   515.3   653.6  2029.0  8383.6  30119.2    30130  1715200740201  1715200750313
read      368.5   200.1   160.7   237.4   255.3   347.8   394.1   420.3   438.4   461.5   491.5   543.8   674.3  1678.4  8136.5  30110.7    30135  1715200751821  1715200761931
read      365.0   234.8   160.7   231.7   250.6   342.9   388.8   414.6   433.1   456.5   486.8   542.2   681.7  1792.4 12053.9  30108.0    30140  1715200763440  1715200773554
read      361.4   190.8   160.7   230.8   247.7   339.7   386.0   411.9   430.7   453.9   484.2   540.4   684.6  2007.1  8036.3  30092.6    30145  1715200775061  1715200785172
read      366.0   223.5   160.7   231.2   249.6   344.2   391.2   418.0   436.5   460.4   492.1   548.9   679.9  1785.0  9701.3  30085.3    30150  1715200786681  1715200796793
read      472.9   541.1   160.7   229.6   247.7   348.9   411.4   454.7   492.1   550.7   657.7   940.5  3084.9  6017.0 12440.0  28946.8    30155  1715200798303  1715200808470
read      478.3   581.0   148.8   228.7   246.1   345.3   415.7   465.6   508.1   572.7   678.4   927.7  3121.6  7463.9 14393.7  30023.9    30160  1715200809981  1715200820282
read      367.7   249.0   160.7   231.0   248.8   343.0   390.4   417.6   436.8   461.3   493.4   548.5   686.9  2589.5  9063.7  30222.3    30165  1715200821792  1715200831905
read      370.1   204.7   160.7   235.2   253.5   349.3   396.4   423.2   442.1   464.7   496.9   555.1   682.3  1618.8  8531.5  30179.4    30170  1715200833414  1715200843530
read      363.7   222.6   148.8   230.5   247.6   343.1   390.9   417.0   435.0   458.1   488.1   541.5   662.3  1641.2  8496.6  30118.2    30175  1715200845039  1715200855151
read      367.9   255.1   160.7   234.7   252.5   345.4   392.3   418.8   437.1   460.6   491.4   546.0   678.9  1515.7 10845.0  30174.5    30180  1715200856660  1715200866781
read      364.3   201.0   160.7   232.9   249.6   343.1   390.4   417.0   435.6   459.0   489.3   542.2   675.3  1710.7  8114.2  30202.0    30185  1715200868287  1715200878400
