#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      356.1   206.6   160.7   209.3   224.3   327.9   387.7   422.3   447.3   475.1   510.1   569.5   716.6  1480.1  8226.3  30190.4    30185  1715447741316  1715447751435
read      358.8   223.5   148.8   209.4   224.8   327.6   389.5   425.3   451.3   481.2   519.2   580.7   727.8  1723.6  8653.4  30312.2    30190  1715447752944  1715447763059
read      359.7   231.7   148.8   209.8   225.1   328.1   390.1   426.0   451.5   480.4   517.3   577.4   724.9  2342.3  8540.9  30128.2    30195  1715447764573  1715447774683
read      347.0   206.9   148.8   209.1   223.1   319.4   378.3   411.3   434.7   462.3   496.2   545.9   671.7  1411.2  8739.1  30257.7    30200  1715447776190  1715447786305
read      348.7   185.7   148.8   210.2   224.3   322.8   380.9   413.7   436.8   464.6   499.5   549.8   676.4  1255.3  8032.0  30199.4    30205  1715447787811  1715447797929
read      345.7   226.3   160.7   209.7   223.6   318.0   373.3   404.1   427.9   455.1   488.7   539.3   673.9  1865.7  9569.0  30205.0    30210  1715447799437  1715447809554
read      356.5   235.3   160.7   211.1   226.3   326.5   385.6   420.2   444.8   472.7   508.1   565.1   692.1  2380.5  9751.9  30257.4    30215  1715447811062  1715447821180
read      351.5   202.7   160.7   210.9   225.1   322.7   381.9   416.4   440.8   468.8   504.0   557.8   689.9  1513.8  8220.3  30130.1    30220  1715447822689  1715447832804
read      344.9   208.5   148.8   209.7   223.6   316.9   371.3   403.7   428.1   456.2   491.1   543.7   674.4  1968.5  8300.0  30294.2    30225  1715447834313  1715447844429
read      339.7   210.1   148.8   206.7   220.2   311.8   367.7   400.0   424.0   451.7   485.9   537.2   648.6  1681.4  8269.3  30201.7    30230  1715447845938  1715447856057
read      352.5   219.6   160.7   210.0   224.2   323.4   383.2   417.5   442.0   469.9   505.6   559.3   690.3  1847.5  8599.4  30224.9    30235  1715447857567  1715447867692
read      338.2   203.5   160.7   209.3   222.8   311.6   363.6   395.0   418.5   446.1   480.8   532.1   640.6  1443.7  8457.0  30142.6    30240  1715447869199  1715447879316
read      359.4   247.1   148.8   207.5   223.1   327.4   389.2   425.4   451.3   481.1   519.4   582.6   727.1  2053.2  9446.1  30269.6    30245  1715447880821  1715447890938
read      358.9   215.9   148.8   206.9   222.7   329.2   391.1   427.9   454.2   484.3   522.8   584.4   726.8  1291.4  8905.0  30184.3    30250  1715447892448  1715447902569
read      357.8   244.6   148.8   209.9   225.0   328.3   388.4   422.5   446.9   474.6   509.3   567.4   716.2  2028.8  9673.2  30343.6    30255  1715447904077  1715447914196
