Random waveform, supplied seed
Total number of intervals = 150 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682)
Average QPS expected = 50033
Timestamp start: 1715964404597
Timestamp end: 1715965305129

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      380.4   283.4   160.7   220.6   234.2   339.0   398.4   434.5   463.3   499.6   548.9   632.9   919.7  3261.6  9404.3  93569.0    93552
read      389.4   296.2   160.7   220.3   232.7   340.4   412.3   456.8   492.1   536.7   593.9   675.9   936.7  2401.7  9670.1  65620.8    65694
read      404.7   323.0   173.5   220.6   233.3   364.6   454.1   502.9   535.5   571.1   612.8   672.7   835.8  2528.1  9950.6  29660.7    29574
read      415.3   395.6   160.7   220.9   233.8   352.7   437.6   490.7   531.7   579.7   636.7   729.3  1195.4  3770.4 13450.2  51151.0    51355
read      388.9   405.3   160.7   215.8   228.0   332.4   400.8   444.6   479.6   525.0   583.0   668.6  1097.7  4149.8 19190.0  67167.5    67361
read      490.1   635.2   173.5   218.2   233.0   430.7   529.0   593.4   641.3   695.7   758.0   847.3  1120.6  5823.6 30470.0  16123.0    16287
read      434.9   393.9   160.7   218.5   231.6   353.6   425.1   467.9   503.2   549.9   625.3   820.9  1825.5  3362.4 11122.6  81294.8    81508
read      376.9   310.9   160.7   216.7   229.5   332.0   393.2   430.6   460.8   498.9   549.7   635.9   949.2  2885.3 10013.7  87534.7    87619
read      377.0   256.4   160.7   219.8   233.7   337.8   395.4   430.6   459.1   495.1   544.2   628.9   920.5  2545.5  8258.8  99046.2    99068
read      394.4   305.8   160.7   215.6   227.9   345.4   425.5   473.4   511.9   557.5   613.1   688.0   922.2  2581.7  8704.4  51099.0    51267
read      441.9   470.4   173.5   222.4   240.1   408.7   477.8   522.2   553.9   589.5   632.7   694.8   866.7  3914.6 28396.9  11801.3    11822
read      499.0   598.3   160.7   231.3   251.3   402.4   469.8   513.2   549.4   604.8   707.6  1350.0  1870.5  6224.0 29017.6  97298.8    97494
read      374.2   305.5   160.7   219.7   232.7   333.5   391.6   427.2   455.7   491.9   541.5   623.2   874.1  2739.6 10028.8  97269.5    97350
read      391.8   299.6   160.7   215.8   227.9   342.3   420.5   467.7   505.3   551.0   609.0   685.9   948.9  2167.6  9228.5  55434.5    55460
