Random waveform, supplied seed
Total number of intervals = 150 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682)
Average QPS expected = 50033
Timestamp start: 1715967481569
Timestamp end: 1715968382109

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      382.0   661.0   173.5   238.1   256.1   354.5   384.2   399.2   410.3   424.0   438.5   468.5   588.8  9258.6 29582.1   7389.0     7434
read      408.1   433.2   160.7   221.2   235.3   353.4   427.4   470.5   504.9   547.1   603.3   688.9  1096.9  4053.7 21827.8  67292.0    67201
read      370.8   333.6   160.7   215.6   228.8   335.0   398.9   436.2   465.0   500.7   547.1   622.6   787.6  1778.4 10071.1  86056.5    85927
read      379.3   230.4   160.7   213.9   226.8   339.3   413.3   456.6   490.1   530.3   581.1   653.5   825.8  1781.0  8063.4  63980.2    63953
read      395.1   442.2   160.7   211.1   224.3   352.8   437.6   486.6   520.2   556.0   598.3   655.9   812.8  2254.2 25563.8  31555.7    31595
read      376.5   329.5   160.7   217.1   230.2   334.8   396.0   432.8   462.3   499.3   547.7   628.5   886.5  2820.6 14407.6  87945.7    87879
read      475.5  1258.0   173.5   223.5   242.1   366.0   419.2   447.6   466.8   491.7   525.2   591.4  3066.1 27714.9 39515.6   7194.0     7287
read      409.3   404.6   160.7   213.4   226.6   341.7   416.4   464.1   502.8   550.0   616.0   730.5  1495.3  3965.9 12360.7  62201.2    62295
read      447.7  1085.2   173.5   223.7   242.4   353.1   398.1   423.0   439.9   462.2   492.7   558.9  2504.2 18187.5 37105.5   6593.7     6561
read      534.8   934.6   173.5   213.1   227.3   422.0   549.4   636.4   700.6   769.3   851.8   970.4  2136.0  8523.5 32969.3  22478.0    22532
read      395.2   387.3   160.7   219.9   233.5   346.0   420.2   464.1   498.9   540.4   592.6   667.7   879.5  4038.2 12555.8  60627.2    60653
read      389.3   320.1   160.7   220.1   233.6   345.5   420.2   464.4   498.7   540.0   590.8   662.3   853.3  2029.9 11028.6  59059.3    59076
