	#type	cpu_cores	avg	std	min	p5	p10	p50	p67	p75	p80	p85	p90	p95	p99	p999	p9999	QPS	target	ts_start	ts_end
33	read	2	415.0	363.9	160.7	221.2	235.0	365.6	449.5	501.8	541.2	585.5	636.5	710.9	937.5	3583.3	12583.0	42870.8	42889	1715958733171.413	1715958738174.6074
34	read	2	401.0	379.4	160.7	224.6	240.6	356.6	418.7	457.7	488.5	527.0	579.0	665.1	935.1	3877.8	13825.7	93640.4	93552	1715958738174.6074	1715958743177.8018
35	read	2	397.8	308.1	160.7	221.4	235.3	350.6	424.6	469.2	505.3	548.9	605.5	689.8	949.0	2497.1	8247.3	65667.8	65694	1715958743177.8018	1715958748180.996
36	read	2	418.2	540.7	160.7	220.0	233.0	370.0	455.9	505.9	540.1	576.7	619.3	681.4	883.4	7131.2	29015.5	29743.6	29574	1715958748180.996	1715958753184.1904
37	read	2	417.3	392.4	160.7	220.5	234.1	365.3	448.9	501.1	540.1	585.3	641.4	729.0	1020.8	3492.8	19857.3	51364.4	51355	1715958753184.1904	1715958758187.3848
38	read	2	406.0	396.4	160.7	220.2	233.7	354.9	432.9	480.9	517.6	561.4	617.9	704.7	951.4	2941.6	24166.8	67275.6	67361	1715958758187.3848	1715958763190.579
39	read	1	510.7	804.3	160.7	221.4	236.8	427.7	524.4	581.9	632.4	695.3	771.7	880.1	1910.9	8792.9	35978.0	16181.2	16287	1715958763190.579	1715958768193.7734
40	read	2	412.8	384.4	160.7	222.4	237.3	355.9	425.7	468.9	503.6	545.8	604.1	706.1	1568.8	3222.0	15388.5	81463.2	81508	1715958768193.7734	1715958773196.9678
41	read	2	401.6	345.2	160.7	224.1	239.9	356.2	421.9	462.9	495.3	535.3	588.2	675.3	954.9	3858.1	8187.6	87702.2	87619	1715958773196.9678	1715958778200.162
42	read	2	405.5	326.8	160.7	228.8	246.9	366.3	428.2	466.5	497.4	535.5	586.1	669.7	869.1	4148.1	9986.0	98921.4	99068	1715958778200.162	1715958783203.3564
43	read	2	412.1	441.8	160.7	220.5	233.8	359.5	440.1	490.2	528.2	573.9	629.6	710.1	948.4	4096.6	28702.2	51200.6	51267	1715958783203.3564	1715958788206.5508
44	read	1	494.7	816.5	173.5	224.5	243.1	424.6	510.4	561.6	599.3	645.7	701.7	787.6	1275.1	9741.0	31880.0	11883.2	11822	1715958788206.5508	1715958793209.745
45	read	2	457.3	362.4	160.7	227.5	246.9	383.9	453.6	498.1	534.2	581.7	654.4	852.4	1836.4	2947.2	10096.9	97401.2	97494	1715958793209.745	1715958798212.9397
46	read	2	428.7	390.0	160.7	226.0	244.1	373.1	443.6	489.8	526.6	574.0	641.8	764.4	1291.1	3464.3	17126.1	97424.2	97350	1715958798212.9397	1715958803216.1338
47	read	2	396.7	292.5	160.7	218.8	231.3	346.3	423.8	470.0	508.4	555.2	610.4	687.5	1017.7	2641.2	10095.7	55384.8	55460	1715958803216.1338	1715958808219.328
48	read	2	411.6	394.5	160.7	223.3	238.7	356.8	423.7	464.7	498.2	540.3	597.5	694.7	1550.8	3255.9	13604.5	86001.0	85984	1715958808219.328	1715958813222.5225
49	read	2	392.8	316.4	160.7	221.2	235.5	346.0	412.6	452.7	484.1	524.3	578.4	666.3	1052.2	3134.9	10529.1	81960.8	82043	1715958813222.5225	1715958818225.7168
