col	#type	cpu_cores	avg	std	min	p5	p10	p50	p67	p75	p80	p85	p90	p95	p99	p999	p9999	QPS	target	ts_start	ts_end
0	read	1	443.3	700.6	173.5	240.7	261.8	393.7	446.2	476.3	498.9	525.3	558.0	615.8	1175.9	8395.4	31884.0	7391.6	7434	1715955027751.0	1715955037756.6333
1	read	2	413.4	330.9	160.7	221.5	235.9	352.0	426.0	471.1	508.3	554.5	615.7	715.0	1485.4	3867.5	9539.3	67217.1	67201	1715955037756.6333	1715955047762.2666
2	read	2	394.0	313.3	160.7	221.1	235.5	346.5	411.5	451.6	482.5	522.1	575.3	661.3	1218.9	3064.3	10076.4	85951.7	85927	1715955047762.2666	1715955057767.9
3	read	2	392.1	292.8	160.7	218.9	231.3	343.8	418.4	463.8	500.8	545.6	601.6	680.0	919.3	2497.6	9392.6	63871.3	63953	1715955057767.9	1715955067773.5332
4	read	2	398.7	306.9	160.7	215.2	228.3	355.4	450.7	503.2	537.2	572.0	610.5	663.3	805.2	1783.7	12229.6	31606.5	31595	1715955067773.5332	1715955077779.1665
5	read	2	381.0	223.8	160.7	223.7	239.0	347.3	411.3	449.7	478.7	515.2	562.2	634.0	793.9	1662.2	7801.3	88007.9	87879	1715955077779.1665	1715955087784.7998
6	read	1	468.4	750.1	173.5	243.0	266.4	403.3	459.3	491.5	514.1	541.5	578.5	640.9	1918.7	8483.8	31407.4	7317.8	7287	1715955087784.7998	1715955097790.433
7	read	2	430.0	324.1	160.7	226.2	242.0	369.3	452.9	504.4	544.1	591.3	653.9	762.9	1432.7	2616.7	11919.1	62225.6	62295	1715955097790.433	1715955107796.0664
8	read	1	437.3	813.8	173.5	242.4	264.7	383.1	429.9	457.7	477.6	501.9	533.0	583.1	1172.5	9632.0	31757.7	6545.3	6561	1715955107796.0664	1715955117801.6997
9	read	2	512.8	735.9	173.5	227.2	243.8	427.3	535.6	593.2	641.4	714.4	811.6	959.8	1375.0	8995.0	32480.0	22477.3	22532	1715955117801.6997	1715955127807.333
10	read	2	441.3	469.6	160.7	224.5	239.9	366.2	447.5	500.3	541.3	591.2	660.3	792.9	1679.2	4108.5	24442.2	60797.0	60653	1715955127807.333	1715955137812.9663
11	read	2	417.1	373.2	160.7	223.7	238.4	363.4	444.0	494.1	532.4	578.5	635.6	722.1	1099.4	3644.0	14844.4	59197.7	59076	1715955137812.9663	1715955147818.5996
12	read	2	415.6	344.0	160.7	223.9	238.7	365.5	448.2	497.6	535.8	581.3	638.1	723.4	979.9	3168.0	12578.1	60179.9	60154	1715955147818.5996	1715955157824.233
13	read	1	515.9	752.6	160.7	226.1	241.8	420.4	530.7	589.2	636.6	713.4	828.5	989.2	1710.3	7675.1	31638.5	22926.1	22964	1715955157824.233	1715955167829.8662
14	read	1	493.5	978.7	173.5	237.7	259.2	410.6	474.7	510.6	536.0	565.5	604.1	677.1	2541.1	12638.5	32153.9	8150.7	8172	1715955167829.8662	1715955177835.4995
15	read	2	446.7	505.1	160.7	223.3	238.1	385.8	483.8	536.6	571.1	609.5	658.6	746.0	1217.8	5368.8	24184.9	27563.0	27652	1715955177835.4995	1715955187841.1328
16	read	2	421.0	332.2	160.7	221.8	235.9	374.9	463.5	518.6	557.1	599.1	648.1	720.5	970.2	2627.6	12837.5	37736.8	37594	1715955187841.1328	1715955197846.766
17	read	2	477.0	611.4	160.7	224.2	239.5	397.7	502.5	554.5	591.2	638.0	726.0	928.7	1334.4	6907.9	30841.6	24365.1	24367	1715955197846.766	1715955207852.3994
18	read	2	431.9	422.7	160.7	221.5	235.6	378.8	471.8	527.3	564.4	605.6	655.4	734.1	1150.4	3887.1	20198.1	33745.4	33771	1715955207852.3994	1715955217858.0327
19	read	2	410.1	323.4	160.7	226.5	242.9	363.9	433.4	475.8	508.9	549.3	604.9	691.1	964.3	3947.0	9762.5	84937.6	84944	1715955217858.0327	1715955227863.666
20	read	2	408.4	272.5	160.7	224.6	241.0	367.2	439.0	483.2	515.9	556.2	611.7	698.0	923.7	2823.7	8197.0	85733.6	85666	1715955227863.666	1715955237869.2993
21	read	2	428.2	343.0	160.7	219.9	233.8	373.1	460.9	513.4	552.7	599.2	660.1	754.8	1244.6	3477.9	12016.1	51927.9	51918	1715955237869.2993	1715955247874.9326
22	read	2	420.0	399.2	160.7	214.9	228.4	373.0	465.0	520.4	556.7	595.8	642.0	713.6	984.6	3316.0	15371.2	34459.3	34406	1715955247874.9326	1715955257880.566
23	read	2	414.1	324.8	160.7	219.0	232.0	372.4	467.0	519.5	551.6	585.4	625.9	684.0	883.6	2944.6	12377.2	28755.6	28664	1715955257880.566	1715955267886.1992
24	read	2	413.1	293.2	160.7	218.2	231.0	367.9	456.2	510.6	549.1	590.2	637.9	707.5	912.2	2687.7	10819.8	38324.8	38289	1715955267886.1992	1715955277891.8325
25	read	2	517.3	646.5	160.7	223.1	238.6	432.2	540.4	607.2	669.3	745.9	837.8	966.4	1651.5	6454.5	31096.2	20705.5	20658	1715955277891.8325	1715955287897.4658
26	read	1	531.2	880.5	160.7	222.7	240.0	443.7	540.2	599.0	640.2	686.8	741.2	831.0	2417.3	12357.2	32456.1	13876.6	13840	1715955287897.4658	1715955297903.099
27	read	2	431.1	441.5	160.7	225.5	243.2	371.2	439.7	482.9	516.2	558.9	619.8	725.8	1623.6	5296.1	16192.2	93295.1	93419	1715955297903.099	1715955307908.7324
28	read	2	418.7	297.3	160.7	228.6	248.2	378.7	444.7	486.0	517.8	557.5	613.5	704.9	957.8	3061.5	8694.0	98357.9	98284	1715955307908.7324	1715955317914.3655
29	read	2	402.6	311.3	160.7	220.3	234.3	353.1	427.9	473.1	508.7	550.7	607.5	694.7	1049.0	2761.8	12452.9	71192.4	71313	1715955317914.3655	1715955327919.999
30	read	2	424.0	381.4	160.7	219.8	233.3	375.2	461.7	516.6	555.9	599.7	653.9	730.1	989.8	4196.6	12115.6	42200.8	42089	1715955327919.999	1715955337925.6323
31	read	2	412.5	276.5	160.7	220.0	233.6	366.1	451.1	504.0	543.7	587.6	639.9	716.1	936.6	3063.8	8611.7	46548.6	46458	1715955337925.6323	1715955347931.2656
32	read	2	415.5	295.3	173.5	219.5	232.5	371.1	465.8	519.8	553.9	589.7	631.6	690.0	894.5	3189.1	12148.9	30825.2	30755	1715955347931.2656	1715955357936.899
33	read	2	418.0	368.3	160.7	219.1	232.0	366.9	453.2	507.4	547.0	590.2	641.0	715.8	994.5	4177.2	12992.2	42926.1	42889	1715955357936.899	1715955367942.5322
34	read	2	404.1	288.8	160.7	225.3	242.4	363.1	427.9	467.8	499.5	537.8	588.2	673.4	939.1	3209.9	9233.6	93805.1	93552	1715955367942.5322	1715955377948.1655
35	read	2	405.9	280.6	160.7	219.3	232.5	356.7	434.8	483.0	519.9	563.7	620.5	706.9	1045.1	3041.6	7959.5	65725.3	65694	1715955377948.1655	1715955387953.7988
36	read	2	411.8	297.1	160.7	214.7	228.0	370.8	464.6	517.6	550.8	585.9	627.6	687.5	895.4	3115.1	11474.8	29640.2	29574	1715955387953.7988	1715955397959.432
37	read	2	411.4	290.5	160.7	222.7	237.5	360.6	442.5	494.5	534.6	580.6	635.2	714.3	995.8	2804.9	10919.5	51373.5	51355	1715955397959.432	1715955407965.0654
38	read	2	402.0	287.5	160.7	222.3	236.9	353.6	429.0	474.8	511.2	555.2	611.1	691.1	927.7	3549.9	7928.6	67316.8	67361	1715955407965.0654	1715955417970.6987
39	read	1	528.7	754.5	160.7	226.4	243.2	443.6	541.8	606.3	659.2	717.5	782.6	881.6	2515.0	9229.5	31680.9	16200.6	16287	1715955417970.6987	1715955427976.332
40	read	2	436.7	443.4	160.7	223.4	239.4	368.8	443.1	488.6	523.8	568.5	630.3	746.7	1728.9	4762.4	15845.6	81490.8	81508	1715955427976.332	1715955437981.965
