Benchmark,2,4,8,1
blackscholes,1.71,2.64,3.38,1.00
freqmine,1.97,3.59,4.78,1.00
vips,1.50,3.78,4.43,1.00
dedup,1.82,2.17,1.06,1.00
radix,2.06,4.03,6.02,1.00
canneal,1.63,2.35,3.08,1.00
ferret,1.97,3.39,3.97,1.00
