col	#type	cpu_cores	avg	std	min	p5	p10	p50	p67	p75	p80	p85	p90	p95	p99	p999	p9999	QPS	target	ts_start	ts_end
0	read	1	410.6	796.8	173.5	243.0	262.3	364.1	398.7	418.5	432.0	451.5	477.3	534.8	1017.3	9191.5	31701.4	7359.0	7434	1715968778109.0	1715968784112.5466
1	read	2	430.1	694.7	160.7	226.4	242.5	362.5	437.1	480.1	512.4	550.9	600.6	675.8	925.9	11688.3	31216.8	66992.5	67201	1715968784112.5466	1715968790116.0933
2	read	2	382.4	342.7	160.7	222.9	238.0	345.7	410.4	448.2	475.8	509.6	555.1	629.4	806.5	2058.4	15799.8	85935.5	85927	1715968790116.0933	1715968796119.64
3	read	2	403.5	414.8	160.7	221.7	235.9	352.0	428.2	471.5	504.9	545.2	596.9	676.5	985.6	3829.4	26145.5	63945.3	63953	1715968796119.64	1715968802123.1863
4	read	2	398.3	426.6	160.7	216.3	229.1	350.9	438.3	489.4	523.3	558.6	599.1	656.5	892.1	3044.6	27900.8	31555.5	31595	1715968802123.1863	1715968808126.7332
5	read	2	380.9	323.3	160.7	220.9	234.7	341.6	403.6	440.3	468.2	504.1	551.5	628.7	875.5	2408.8	11119.6	87984.3	87879	1715968808126.7332	1715968814130.2798
6	read	1	474.9	1216.9	173.5	234.1	253.0	369.2	418.6	446.4	466.1	490.4	521.8	583.2	3046.2	25315.5	37450.0	7307.0	7287	1715968814130.2798	1715968820133.8264
7	read	2	403.9	509.5	160.7	219.9	232.6	350.0	423.6	467.1	502.5	544.5	599.2	679.2	1048.3	6100.6	29749.7	62068.8	62295	1715968820133.8264	1715968826137.373
8	read	1	484.6	1455.7	173.5	231.9	250.5	359.0	404.9	429.0	446.1	465.3	493.6	545.5	3074.6	29519.4	36136.5	6535.7	6561	1715968826137.373	1715968832140.9197
9	read	1	496.2	640.8	160.7	223.4	239.1	424.3	522.0	579.7	629.1	693.1	777.3	901.0	1372.2	5462.1	31066.5	22494.3	22532	1715968832140.9197	1715968838144.4663
10	read	2	403.3	389.2	160.7	221.6	235.9	353.7	431.1	475.2	509.9	551.1	604.5	683.2	1031.7	3124.9	22747.0	60515.5	60653	1715968838144.4663	1715968844148.013
